axial_start,axial_end,max_radius,min_radius,ovality,units
-5.915373440103287,-5.565373440103287,1.0286026848839376,0.9768244302399524,0.05192646046833583,m
-5.565373440103287,-5.215373440103288,1.0273026432518326,0.9746089393628399,0.05284453002009066,m
-5.215373440103288,-4.865373440103288,1.0262387121565506,0.9720648332611612,0.05432894175788187,m
-4.865373440103288,-4.515373440103288,1.024812129022627,0.9703223534892574,0.054645742592459,m
-4.515373440103288,-4.165373440103289,1.0235603359346575,0.9689228787013477,0.05479384700437018,m
-4.165373440103289,-3.815373440103289,1.0222528369679311,0.9677427918895818,0.054666070155319824,m
-3.815373440103289,-3.4653734401032894,1.0205870095011549,0.9672983276926429,0.05344121095555045,m
-3.4653734401032894,-3.1153734401032898,1.0191473035629164,0.9672490976722752,0.05204675505359051,m
-3.1153734401032898,-2.76537344010329,1.0173069589487198,0.9313408028046304,0.08621221861037356,m
-2.76537344010329,-2.4153734401032905,1.0146161786538024,0.8827660600883478,0.1322275155180378,m
-2.4153734401032905,-2.065373440103291,1.013210362231303,0.8789756254228654,0.1346189592964678,m
-2.065373440103291,-1.7153734401032912,1.0137709061822588,0.9077722599975337,0.10630204800554488,m
-1.7153734401032912,-1.3653734401032915,1.0163517716857164,0.9697522726905127,0.04673288157463592,m
-1.3653734401032915,-1.015373440103292,1.0199090229498569,0.9697973071244392,0.05025515148590086,m
-1.015373440103292,-0.6653734401032922,1.022598604019854,0.9701423807057512,0.05260636970030375,m
-0.6653734401032922,-0.3153734401032926,1.0242997909711644,0.9640061477674147,0.060466222777077465,m
-0.3153734401032926,0.03462655989670704,1.0258585731226306,0.946277270786916,0.07980908932074633,m
0.03462655989670704,0.3846265598967067,1.0275391726574767,0.9158707615958211,0.11198804155188953,m
0.3846265598967067,0.7346265598967063,1.0286072348050714,0.8985300193522918,0.13044953779307406,m
0.7346265598967063,1.084626559896706,1.0293894911430093,0.8966212292380912,0.13314828687560337,m
1.084626559896706,1.4346265598967056,1.030030064707434,0.9038593715914477,0.12653183374752588,m
1.4346265598967056,1.7846265598967053,1.0303482038305465,0.9347300946098812,0.09589179864487109,m
1.7846265598967053,2.134626559896705,1.0307127976748198,0.9613431317738269,0.0695682239364167,m
2.134626559896705,2.4846265598967046,1.031412662226,0.9784927568259011,0.05307137899182784,m
2.4846265598967046,2.834626559896704,1.031931771563751,0.9600822423738027,0.07205518538241787,m
2.834626559896704,3.184626559896704,1.0322021609051746,0.9524873350211996,0.07994299505584701,m
3.184626559896704,3.5346265598967035,1.032207474831345,0.9531872279101917,0.07924642798723713,m
3.5346265598967035,3.884626559896703,1.0318355323419628,0.9691687021581068,0.06284620257272265,m
3.884626559896703,4.234626559896703,1.031080030593734,0.9804762387728715,0.050748635959268554,m
4.234626559896703,4.584626559896702,1.0295657377315839,0.9793649482985123,0.050344480050535156,m
4.584626559896702,4.934626559896702,1.0279284739774137,0.9783586643020211,0.04971169422821032,m
4.934626559896702,5.284626559896702,1.026010239584332,0.977298819234943,0.04885084791908615,m
5.284626559896702,5.634626559896701,1.0233380109531103,0.975883264793869,0.04759057672792762,m
5.634626559896701,5.984626559896701,1.0210877892167733,0.9734696625680695,0.047754424864287284,m
